,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ddx47,974.6680916,0.004730051,0.054961535,0.086101766,0.93138552,0.982362834
Gm37893,41.92152752,0.004731435,0.195088498,0.02147118,0.982869793,0.996711254
Ppp3cb,952.9247592,0.004747109,0.062415546,0.075948905,0.939459748,0.985085373
BC048403,199.6571633,0.004762939,0.112575318,0.041859224,0.966610922,0.990573983
Rfx4,6.952507446,0.004776286,0.193718988,0.016645026,0.986719804,NA
Ino80,621.1263566,0.004815249,0.06867913,0.069991293,0.94420059,0.985880839
Ergic3,2284.000741,0.004824369,0.038716986,0.124534822,0.900891831,0.973935129
Mien1,192.2947371,0.004889861,0.110990897,0.042253388,0.966296703,0.990484355
Pwp2,688.3536013,0.00489485,0.063871466,0.075779921,0.939594191,0.985085373
Arl3,316.2277368,0.00490466,0.09775578,0.049348032,0.960641942,0.989965616
Tfpi,662.7168194,0.004907962,0.073106506,0.066901974,0.946659742,0.986659504
Clcn3,791.7714532,0.004944286,0.066063024,0.075303999,0.93997284,0.985085373
Cpox,390.3372768,0.004950545,0.087472384,0.056556991,0.954898096,0.988910306
Tgm4,6.071072464,0.004960107,0.187204961,0.030354245,0.975784536,NA
Tmem259,1832.628188,0.004962304,0.042403178,0.117290058,0.906630203,0.975008796
Tmem214,1092.487882,0.004985925,0.054908383,0.090704984,0.927727011,0.980483545
Dohh,209.7156973,0.004996174,0.109776392,0.04495032,0.964146908,0.990468475
Pomt2,308.7080013,0.005026279,0.096602875,0.051644234,0.958812173,0.989624662
Ankrd49,324.9949616,0.005028922,0.089866176,0.05532155,0.955882294,0.988910306
Stim1,922.85079,0.005062109,0.060234608,0.083728332,0.93327243,0.983172875
Tex2,740.9473137,0.005116607,0.067037636,0.076299667,0.939180691,0.985085373
Snip1,342.9041773,0.00515374,0.08822461,0.058564386,0.953299078,0.988892738
Slc25a19,319.0040814,0.005177715,0.087336233,0.058916308,0.953018768,0.988892738
Fam3c,986.9417059,0.005188567,0.05671558,0.090828762,0.927628656,0.980483545
Srm,1109.77178,0.005252886,0.05466302,0.09562118,0.923821443,0.980064458
Raph1,629.7943805,0.00526217,0.079871051,0.065958639,0.947410755,0.986675728
Mtfmt,233.0148381,0.005262606,0.102979616,0.050485034,0.959735875,0.989806028
Hint3,112.3237285,0.005269197,0.1604257,0.032178601,0.974329621,0.993695788
Kctd10,564.6859146,0.00527078,0.072506323,0.073102441,0.941724599,0.985258215
Dmtn,17.05783191,0.005280403,0.213859017,0.019157719,0.984715287,0.997006119
Mocs2,1034.173071,0.005288086,0.056771238,0.092211278,0.926530178,0.980320765
Pdia3,11488.18148,0.005313391,0.030780068,0.172558971,0.862998105,0.962105738
Dnajc3,1832.926057,0.005385,0.041504201,0.129806965,0.896719152,0.972812962
Acox1,2167.768199,0.005419567,0.042810681,0.126472348,0.899358036,0.973877876
Ik,1951.126458,0.005421114,0.040094613,0.135235346,0.892425802,0.971829014
Snrpd3,866.9886396,0.00542787,0.061884254,0.087608948,0.93018749,0.98188955
Spats2,384.1446374,0.005489467,0.094061615,0.058289892,0.953517719,0.988910306
Erlin2,1532.271233,0.005507023,0.052920116,0.104332122,0.916905787,0.977555401
Pcnx,1181.981947,0.005574128,0.054837842,0.101305603,0.919307868,0.978285716
Masp1,108.5150545,0.005611352,0.151431036,0.033100954,0.973594082,0.993673564
Cox7a2,1286.703036,0.005666812,0.046974944,0.120207976,0.904318399,0.974650915
Brd3,605.7523421,0.00567981,0.075520199,0.075611303,0.939728344,0.985085373
Nck2,612.1198399,0.005685603,0.074328043,0.076919861,0.938687297,0.984923711
Gm7846,38.07185929,0.005699137,0.209642252,0.026394043,0.978943046,0.995118274
Spns1,1840.732155,0.005738133,0.047177178,0.12134524,0.903417588,0.974650915
Gm16580,23.62862419,0.005802375,0.208457182,0.030462798,0.975697962,0.99418932
Emc4,784.0291264,0.00581649,0.06300686,0.091885295,0.926789175,0.98041824
Sh3bp2,2976.919176,0.005821536,0.035974832,0.161800618,0.871462866,0.965122836
Id2,6382.14257,0.005872573,0.038095459,0.154046688,0.877572923,0.967310544
Rasal3,1322.517088,0.005924026,0.057360456,0.103880224,0.917264401,0.977645646
Acsl5,2175.635107,0.005936159,0.044238225,0.134171176,0.893267218,0.971829014
Ogfod1,442.5012084,0.005949353,0.092264649,0.064589589,0.948500775,0.986675728
Gm29666,5.114497673,0.005984974,0.182276601,0.018913245,0.984910313,NA
Polr1b,523.0002647,0.005991084,0.078949347,0.075506954,0.939811365,0.985085373
Ppp2r2d,499.647377,0.006004627,0.07723044,0.077525081,0.93820584,0.984888081
Eif3f,2670.800233,0.006005372,0.038560567,0.155929359,0.876088704,0.966699529
Naa15,1811.666824,0.006023662,0.04167523,0.144296382,0.885266435,0.969574777
Gm27326,8.730322967,0.006035181,0.207068746,0.027959193,0.977694698,NA
Gm48624,1.744759393,0.006054304,0.115243097,0.043841337,0.965030876,NA
Rhbdf2,1563.361558,0.00607931,0.045226197,0.134177286,0.893262387,0.971829014
Phrf1,1140.110989,0.006086686,0.054797085,0.111077927,0.911554552,0.976227498
Gm7935,9.290426649,0.006112362,0.207498792,0.02807303,0.977603905,NA
Zfp608,346.1097842,0.006124326,0.086465855,0.070938466,0.943446729,0.985880839
Eef1b2,3399.36403,0.006159127,0.035198733,0.175140704,0.860969076,0.961811375
Pip4k2a,1084.448592,0.006159185,0.058645986,0.105436908,0.916029131,0.977417032
Ptprd,48.62901121,0.006186386,0.193569017,0.042975475,0.965721084,0.990484355
Zcchc17,487.0060035,0.006188491,0.075168212,0.081907146,0.934720552,0.984037752
Surf6,511.2739523,0.006208827,0.072175918,0.085483264,0.9318772,0.982644148
Efcab2,42.94337928,0.006213445,0.188910855,0.03238862,0.974162138,0.993673564
Gm17147,22.6898092,0.006215751,0.213866235,0.029619174,0.976370773,0.994432039
Tmem2,446.0810253,0.00622662,0.075741672,0.08201884,0.934631732,0.984037752
Ropn1l,39.71408584,0.00623956,0.190635195,0.036764928,0.970672439,0.992257587
Dtx4,1882.559909,0.006251515,0.04490467,0.138921446,0.889512224,0.971199248
Rexo1,1277.302755,0.006285157,0.052257952,0.120310072,0.904237525,0.974650915
Snora20,0.868597378,0.006295337,0.048315715,0.096491609,0.923130138,NA
