X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Col16a1,48.83660678,-0.638844968,0.184170759,-3.44630944,0.000568299,0.005425744,Col16a1
Cobll1,14.63881814,-0.638408982,0.205154574,-3.528195976,0.000418402,0.00417755,Cobll1
Sema3d,27.06405827,-0.637316118,0.204900593,-3.072264707,0.002124412,0.01623325,Sema3d
Eml1,62.98881548,-0.637289801,0.186538298,-3.393701071,0.000689549,0.006364918,Eml1
Lhfp,9.143342492,-0.636139961,0.205029783,-3.075119548,0.002104182,0.01609051,Lhfp
Helz2,1340.546503,-0.634983609,0.170007552,-3.705318298,0.000211125,0.002323676,Helz2
Gm26797,11.49211418,-0.634218691,0.211156865,-2.968553029,0.002992055,0.021380338,Gm26797
Ttbk1,33.06053681,-0.633852475,0.208885689,-3.028590435,0.002456975,0.018201697,Ttbk1
Fkbp10,8.879556829,-0.633593537,0.198799406,-3.22891984,0.001242587,0.010398934,Fkbp10
Ccdc92,15.59079864,-0.633494118,0.213807017,-2.914611833,0.003561312,0.024640552,Ccdc92
Ptprk,11.57677268,-0.633230541,0.196249219,-3.631454869,0.000281828,0.002972088,Ptprk
Mlxipl,118.8287401,-0.632347786,0.175864598,-3.850047425,0.000118095,0.001396966,Mlxipl
Igfbp2,175.4158608,-0.631983113,0.200797802,-4.565683,4.98E-06,8.56E-05,Igfbp2
Jakmip2,12.64790104,-0.630227273,0.212439352,-2.958644428,0.003089954,0.021934188,Jakmip2
Ptprd,48.62901121,-0.629388569,0.189755274,-3.324458223,0.000885905,0.007832372,Ptprd
Csmd2,14.76586412,-0.628369674,0.212997035,-2.875936329,0.00402831,0.027355545,Csmd2
Gpm6b,248.933298,-0.627818492,0.134100696,-4.675731965,2.93E-06,5.40E-05,Gpm6b
Cdh13,10.98380051,-0.627398958,0.210166921,-2.904807315,0.003674793,0.025295553,Cdh13
Tspoap1,36.59675942,-0.626187972,0.205257708,-3.041874252,0.002351101,0.017586932,Tspoap1
Timp4,18.12198971,-0.625717968,0.213862656,-2.993134345,0.002761282,0.019970094,Timp4
Ppp2r2c,25.4317372,-0.624779272,0.213263163,-2.874468754,0.004047078,0.027459885,Ppp2r2c
Ephb2,23.2854611,-0.624549882,0.212582871,-3.011170698,0.002602425,0.019086422,Ephb2
Gng3,13.79636771,-0.624048312,0.212362931,-2.928824067,0.003402469,0.02368669,Gng3
Gm26637,32.75035223,-0.623739856,0.203610347,-3.05721039,0.002234074,0.016836425,Gm26637
Adcy1,31.24406922,-0.62357841,0.206869525,-3.022629339,0.00250589,0.018530032,Adcy1
F7,382.5714876,-0.622938153,0.083484963,-7.450284543,9.31E-14,6.21E-12,F7
A930033H14Rik,28.6963242,-0.622616853,0.204871132,-3.017483842,0.002548826,0.018778681,A930033H14Rik
