"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"424","Map3k2",1.22e-07,0.110150449,0.391,0.331,0.003270752,"Map3k2",0.162647,-1.031246,1.069911,0.767067
"425","Fcer1g",5.2e-08,0.111490002,0.44,0.374,0.001394027,"Fcer1g",1.703824,0.691891,7.222499,6.113782
"426","Mapk1",5.52e-09,0.112421495,0.431,0.364,0.00014777,"Mapk1",0.204412,-1.008994,0.40176,0.379608
"427","Nfx1",4.36e-08,0.11412082,0.347,0.287,0.001168318,"Nfx1",0.065294,-1.055563,0.024395,0.218449
"428","Kdm3a",6.23e-07,0.115589626,0.309,0.256,0.01667985,"Kdm3a",0.088824,-0.20677,0.135338,0.264158
"429","Ndufs4",1.12e-06,0.1157787,0.303,0.253,0.030040151,"Ndufs4",0.164706,-0.112446,1.31878,0.940279
"430","5031439G07Rik",4.59e-07,0.116777067,0.281,0.231,0.012291746,"5031439G07Rik",0.149118,-0.694448,0.655181,0.51445
"431","Kdm1a",2.51e-07,0.117916432,0.281,0.228,0.006728046,"Kdm1a",0.089118,-0.540847,0.083977,0.240654
"432","Rnf2",2.54e-07,0.119648743,0.296,0.243,0.006805817,"Rnf2",0.153529,-0.696098,1.102091,0.789979
"433","Slk",7.24e-07,0.120469305,0.295,0.244,0.019400426,"Slk",0.155,-0.273059,0.13931,0.266348
"434","Ptpre",4.35e-07,0.121011477,0.486,0.422,0.011662834,"Ptpre",0.432941,-0.71432,1.007779,0.725407
"435","Eif4g1",9.04e-07,0.121337762,0.306,0.253,0.024199721,"Eif4g1",0.159118,-0.547083,1.316673,0.93921
"436","Ccnh",2.73e-07,0.124030078,0.279,0.226,0.007304158,"Ccnh",0.086176,-0.823636,0.656336,0.515154
"437","Prcp",7.21e-07,0.125384171,0.381,0.323,0.019300011,"Prcp",0.180588,-0.11725,0.278318,0.326466
"438","Itgb1",1.16e-08,0.126497296,0.406,0.339,0.000311156,"Itgb1",0.870588,-0.4658,1.438621,1.017842
"439","Kpna4",1.32e-07,0.12686186,0.598,0.53,0.003529976,"Kpna4",0.112353,-0.756782,0.522914,0.44674
"440","Clk4",3.67e-09,0.126982615,0.408,0.339,9.84e-05,"Clk4",0.057941,-1.146234,0.088019,0.242949
"441","Nvl",4.22e-10,0.126986474,0.321,0.257,1.13e-05,"Nvl",0.024412,0.289813,0.013069,0.213337
"442","Stx7",4.86e-07,0.127476088,0.503,0.438,0.013022163,"Stx7",0.283529,0.61604,2.012788,1.444332
"443","Eif4h",8.06e-08,0.128279063,0.289,0.233,0.002158692,"Eif4h",0.356765,0.11116,0.573462,0.471809
"444","Lcorl",2.55e-07,0.12928726,0.535,0.467,0.006832556,"Lcorl",0.032647,-0.503022,0.041863,0.223717
"445","Ncoa6",1.51e-06,0.129662902,0.295,0.241,0.040513426,"Ncoa6",0.146471,-0.908871,0.694638,0.535639
"446","Larp4b",4.6e-08,0.129726979,0.53,0.459,0.001231933,"Larp4b",0.099412,0.20587,0.73657,0.553725
"447","Ap3b1",1.9e-07,0.129795935,0.591,0.523,0.005075916,"Ap3b1",0.152941,-0.1625,0.007993,0.21154
"448","Ubr2",7e-07,0.131374518,0.423,0.361,0.018736803,"Ubr2",0.155294,-0.348246,0.37818,0.366763
"449","Dctn4",1.59e-09,0.131676734,0.298,0.238,4.25e-05,"Dctn4",0.120588,-0.285276,0.014488,0.213727
"450","Ctnnd1",6.67e-11,0.132750601,0.417,0.342,1.79e-06,"Ctnnd1",0.154412,-0.891329,1.311864,0.936212
"451","Tmem165",9.73e-08,0.133379233,0.251,0.198,0.00260495,"Tmem165",0.129706,-0.280247,0.186922,0.281451
"452","Tcf12",2.92e-07,0.135352617,0.687,0.622,0.007814614,"Tcf12",0.111176,-1.642817,0.380624,0.368537
"453","Snd1",2.25e-09,0.135518757,0.516,0.441,6.02e-05,"Snd1",0.108235,0.314025,1.417768,1.005499
"454","Atg5",2.91e-08,0.135762807,0.279,0.222,0.000780677,"Atg5",0.082941,0.892083,0.874041,0.638986
"455","Dync1h1",1.01e-08,0.136459698,0.332,0.268,0.000271727,"Dync1h1",0.276765,-0.871163,0.763693,0.571302
"456","Cpeb4",8.93e-07,0.137312686,0.282,0.228,0.023920464,"Cpeb4",0.083235,-0.712783,0.336604,0.353697
