,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lair1,1.34E-31,-0.331178651,0.706,0.781,3.59E-27
Epb41l2,2.40E-51,-0.32948448,0.93,0.931,6.43E-47
Ccni,3.63E-17,-0.329244684,0.24,0.303,9.73E-13
Dennd1c,5.38E-17,-0.329088287,0.208,0.276,1.44E-12
Rbfox1,1.04E-11,-0.32889008,0.247,0.309,2.78E-07
Camk2d,4.87E-29,-0.328634215,0.682,0.732,1.30E-24
Tia1,3.33E-16,-0.327383008,0.234,0.306,8.92E-12
Arglu1,1.67E-23,-0.326179454,0.563,0.629,4.47E-19
C1qa,5.48E-24,-0.326058526,0.704,0.767,1.47E-19
Lrp5,5.90E-17,-0.325109065,0.207,0.284,1.58E-12
Arhgef6,1.73E-15,-0.324377945,0.282,0.356,4.63E-11
Ccdc93,1.90E-17,-0.32422762,0.287,0.355,5.09E-13
Parp8,7.21E-19,-0.323938151,0.471,0.554,1.93E-14
Adam10,2.57E-19,-0.322309324,0.408,0.498,6.88E-15
Pla2g4a,4.76E-15,-0.322073205,0.316,0.4,1.28E-10
Tmem273,6.04E-16,-0.316348495,0.213,0.292,1.62E-11
Arid1a,1.29E-20,-0.315973428,0.442,0.5,3.46E-16
4930469K13Rik,1.14E-14,-0.315794366,0.179,0.253,3.04E-10
Fnbp1,9.33E-23,-0.315155071,0.536,0.616,2.50E-18
Gcnt1,5.49E-16,-0.314059677,0.195,0.261,1.47E-11
Fam117b,6.73E-16,-0.313672049,0.314,0.378,1.80E-11
Gdi2,4.60E-22,-0.313364851,0.514,0.586,1.23E-17
Ldlrad4,5.32E-38,-0.313224751,0.905,0.917,1.42E-33
Man1a2,1.41E-21,-0.312712063,0.51,0.572,3.77E-17
Kdm3b,2.44E-18,-0.310849875,0.411,0.475,6.53E-14
Iffo1,6.34E-16,-0.306949108,0.286,0.354,1.70E-11
Map3k5,5.52E-15,-0.306539524,0.351,0.432,1.48E-10
Anks1,9.41E-17,-0.306439022,0.318,0.386,2.52E-12
Mbnl1,1.53E-34,-0.305570191,0.902,0.928,4.09E-30
Gm42418,2.34E-17,-0.303290602,0.942,0.941,6.26E-13
Vrk2,2.94E-17,-0.301991032,0.436,0.509,7.88E-13
Dcakd,3.62E-15,-0.30181651,0.326,0.403,9.69E-11
Mtr,2.41E-14,-0.300149238,0.189,0.256,6.46E-10
Lrrk1,1.24E-17,-0.299870199,0.449,0.525,3.32E-13
Cox16,9.95E-13,-0.29866912,0.362,0.417,2.67E-08
Klf12,1.40E-15,-0.298592375,0.538,0.59,3.76E-11
Pip4k2a,3.32E-29,-0.298041757,0.809,0.857,8.89E-25
Pnisr,7.38E-22,-0.2970507,0.604,0.658,1.98E-17
Mafb,1.52E-13,-0.29645998,0.393,0.464,4.08E-09
Gm37494,6.36E-13,-0.293345161,0.244,0.317,1.70E-08
Cd37,3.69E-18,-0.293276902,0.503,0.57,9.87E-14
4732471J01Rik,2.04E-15,-0.293140546,0.249,0.3,5.45E-11
Slc7a8,7.89E-17,-0.291773887,0.435,0.531,2.11E-12
Dglucy,5.22E-12,-0.291138002,0.19,0.255,1.40E-07
Spire1,3.95E-18,-0.290601737,0.496,0.557,1.06E-13
Plxdc2,5.14E-92,-0.290409713,0.922,0.942,1.38E-87
Rasal3,2.32E-19,-0.289423959,0.248,0.293,6.21E-15
Rin3,8.45E-14,-0.288041692,0.277,0.333,2.26E-09
Srrm2,5.54E-29,-0.2877521,0.818,0.852,1.48E-24
Arrb2,3.22E-13,-0.287539398,0.234,0.309,8.62E-09
Ppfia4,8.68E-13,-0.287108975,0.218,0.285,2.32E-08
Rffl,2.33E-12,-0.286410147,0.353,0.422,6.25E-08
Slc12a2,5.89E-12,-0.285215477,0.25,0.317,1.58E-07
Oma1,2.37E-12,-0.285140457,0.215,0.278,6.36E-08
Vgll4,1.82E-13,-0.284852623,0.329,0.398,4.86E-09
Il6st,1.31E-13,-0.284539163,0.309,0.361,3.50E-09
Arid4a,8.89E-15,-0.28435992,0.388,0.464,2.38E-10
Syk,2.33E-13,-0.284074275,0.323,0.391,6.25E-09
Rreb1,2.70E-31,-0.283341424,0.866,0.896,7.22E-27
Akap8l,7.16E-18,-0.281638587,0.519,0.584,1.92E-13
Calm2,3.44E-13,-0.281530091,0.342,0.409,9.21E-09
Cnot2,3.23E-19,-0.280146542,0.498,0.545,8.64E-15
Crlf3,9.97E-18,-0.278750692,0.557,0.612,2.67E-13
Slc29a3,1.56E-13,-0.278393566,0.303,0.365,4.18E-09
Sla,8.10E-11,-0.277913527,0.191,0.252,2.17E-06
Aagab,1.94E-13,-0.27781045,0.201,0.266,5.20E-09
Tmem135,2.36E-19,-0.276933783,0.583,0.626,6.32E-15
Ddx5,8.05E-31,-0.276025219,0.845,0.879,2.16E-26
Slc7a7,3.67E-13,-0.275951568,0.352,0.424,9.83E-09
Abl1,2.76E-12,-0.274663617,0.334,0.405,7.40E-08
Havcr2,1.92E-15,-0.274366341,0.422,0.483,5.14E-11
AW554918,4.67E-13,-0.273066082,0.344,0.395,1.25E-08
Cxxc5,3.37E-12,-0.272052235,0.201,0.255,9.03E-08
Prex1,7.33E-20,-0.271055648,0.566,0.617,1.96E-15
Apc,3.95E-15,-0.269943812,0.455,0.509,1.06E-10
Cd2ap,1.07E-15,-0.269715612,0.476,0.532,2.86E-11
Ptprm,4.28E-17,-0.269647231,0.598,0.638,1.15E-12
Cradd,1.28E-10,-0.269077377,0.351,0.421,3.42E-06
Snx6,1.70E-13,-0.268989345,0.326,0.375,4.56E-09
Iqsec2,2.14E-11,-0.268712681,0.212,0.275,5.74E-07
Apba1,7.15E-12,-0.268433599,0.477,0.529,1.92E-07
Lyn,2.87E-36,-0.267978133,0.87,0.9,7.68E-32
Mycbp2,9.19E-28,-0.267751789,0.813,0.848,2.46E-23
Dido1,1.91E-15,-0.267436761,0.309,0.364,5.11E-11
Snx18,6.98E-14,-0.267333693,0.284,0.343,1.87E-09
Zfp950,3.89E-12,-0.264848049,0.321,0.375,1.04E-07
Cul1,6.50E-15,-0.264304748,0.426,0.48,1.74E-10
Map11,5.67E-11,-0.2633626,0.215,0.271,1.52E-06
Nedd4l,1.39E-11,-0.263336207,0.278,0.336,3.71E-07
Dleu2,4.42E-33,-0.259732307,0.886,0.923,1.18E-28
Sfi1,2.26E-12,-0.259179966,0.211,0.255,6.04E-08
2610020C07Rik,2.93E-09,-0.258035546,0.283,0.331,7.86E-05
Gfm2,8.63E-18,-0.256162835,0.379,0.421,2.31E-13
Znrf1,3.13E-10,-0.256003055,0.267,0.316,8.38E-06
Hps4,1.06E-12,-0.255695151,0.356,0.418,2.85E-08
Lcp2,6.11E-14,-0.255095937,0.367,0.436,1.64E-09
Zfp36l1,2.36E-10,-0.254092202,0.219,0.288,6.33E-06
Gspt1,3.50E-10,-0.25240514,0.257,0.311,9.37E-06
Lrch1,5.17E-23,-0.25171744,0.777,0.82,1.39E-18
