symbol,LogFC,FDR
Snrpn,-0.314817759,3.38E-10
Foxo4,-0.314688921,0.011593676
Pskh1,-0.314308927,0.000696888
Porcn,-0.314233552,0.000616366
Acly,-0.31402402,0.00030799
Tmcc1,-0.313070404,0.000000567
Tmem246,-0.312917781,0.0000172
Stim1,-0.312410298,0.0000101
Gatsl2,-0.311946118,0.000438211
Acvr2b,-0.311678177,0.001965266
Abhd17b,-0.311666892,0.000304105
Maged1,-0.311111845,0.000192097
Galnt7,-0.310704706,0.00000252
Tmem151a,-0.31040279,0.0000141
Specc1,-0.310372565,0.0000065
Cdk18,-0.310079892,0.000000512
Pfn2,-0.310041894,7.09E-09
Bace1,-0.309962668,0.0000196
Got1,-0.309872525,0.0000504
Eh,-0.30949236,0.001401884
Apbb1ip,-0.309222554,0.000270536
Djc15,-0.308809414,0.00000803
Alkbh7,-0.307893151,0.000250307
Mfn1,-0.307884189,0.000000696
Zfp395,-0.307537309,0.004032584
Mink1,-0.307530068,0.001618011
Atp9a,-0.307414683,0.0000237
1190002N15Rik,-0.307064975,0.000713085
Dock5,-0.306585922,0.000191217
5730508B09Rik,-0.306236582,0.002513176
Hdac11,-0.306186656,0.00000527
Fam171b,-0.305791417,2.42E-08
Lrch2,-0.30552994,0.000121172
Mlh1,-0.304886002,0.00242413
Bzw2,-0.304549268,0.008079513
Bin1,-0.303829558,0.00000839
Rab30,-0.30346642,0.001098164
Mylpf,-0.303227883,0.002580221
Lbr,-0.303091273,0.0000625
Car14,-0.302949546,0.026655056
Cdan1,-0.30292183,0.001486179
Evi2a,-0.302751495,2.62E-08
Ogt,-0.302158389,0.00000758
Zc3h6,-0.301920717,0.016776546
Rilpl1,-0.301225253,0.00000562
Setbp1,-0.300863157,0.000449242
D3Ertd254e,-0.30073106,0.003284597
Scd3,-0.300468555,0.009756738
Gyg,-0.300215971,0.000286386
S1pr5,-0.299789465,0.000465972
Gpr146,-0.299738075,0.005714052
Akt3,-0.299172719,0.001672482
cc2,-0.298896249,0.000000475
Echdc1,-0.298618811,0.000146364
Tusc1,-0.29848942,0.021780015
1700066M21Rik,-0.298181276,0.000514079
Gkap1,-0.297527927,0.0000426
Lmbr1,-0.297218319,0.000298971
Sash1,-0.296894504,0.00000164
Efhd1,-0.296771735,0.008855255
Prickle2,-0.296459294,0.0000778
Gpd2,-0.296455767,0.0000435
Ube2o,-0.295547983,0.000540411
Efs,-0.295037566,0.019334641
Snx18,-0.294216673,0.000288318
Hacd2,-0.293952039,0.003306221
Ndrg1,-0.293869773,0.000019
Tmco6,-0.293835441,0.00485504
Gamt,-0.293172387,0.037296587
Ncald,-0.293037584,4.14E-08
Cept1,-0.292816845,0.0000423
Kmt5c,-0.292806152,0.01697589
Hccs,-0.291911577,0.00000282
Pkmyt1,-0.29164922,0.018274311
Irf2bp1,-0.291586319,0.001625156
Rnf144a,-0.291449225,0.005681023
Nxt2,-0.291321829,0.0000436
Col9a3,-0.29119453,0.02202789
Mycbp2,-0.291166685,0.0000029
Efnb1,-0.291094964,0.011029296
St5,-0.290993384,0.02578772
Sema6a,-0.290453926,0.000133942
Qsox1,-0.290305266,0.003669028
Prcp,-0.289772978,0.004792125
Triobp,-0.289612452,0.002745867
Pacs2,-0.288454504,0.00000234
Ctn2,-0.286809537,0.0000441
Nkd1,-0.286682727,0.0000129
Plcl1,-0.286647678,0.001208638
Tet1,-0.286412697,0.007129868
Mier2,-0.286071549,0.004362472
Cdh11,-0.286058952,0.001332349
Gipc1,-0.285817659,0.003506614
Aldh3b1,-0.285652327,0.020314893
Insr,-0.285612696,0.002722454
Zfp438,-0.285418098,0.001156289
Kifc2,-0.284778777,0.005958328
Prdx1,-0.28463003,0.013802586
Pea15a,-0.284546389,0.0000331
Dis3l2,-0.284362281,0.0000778
Aldh5a1,-0.28431186,0.000258768
Bckdha,-0.284295183,0.000192785
Alg6,-0.284060799,0.00050377
Eml2,-0.28386105,0.010856906
Chac2,-0.283825715,0.000236202
Adgrv1,-0.283242214,0.00205387
Dip2a,-0.283215489,0.0000326
Matn4,-0.28306058,0.026383136
Gk,-0.283050923,0.026568082
Cdk5rap2,-0.282791951,0.0000118
44440,-0.28278105,0.004006511
Mtbp,-0.282720717,0.046294999
Tnfaip6,-0.280751857,0.0000754
Vgll4,-0.280060995,0.000163961
Phlpp2,-0.279899647,0.008516047
Cyth1,-0.279380585,0.00054444
Tcp11l2,-0.279175613,0.001729402
C1galt1c1,-0.279136317,0.000121903
Abca8a,-0.278451739,0.007892735
