gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Sdcbp,Sdcbp.1,2.33E-42,0.318126709,0.404,0.255,6.24E-38,red,0.467647,0.600163,2.642325,1.959402
Sdccag8,Sdccag8.1,3.57E-33,-0.233851267,0.433,0.419,9.57E-29,blue,0.056765,-2.760495,1.7749,1.260493
Sdk1,Sdk1.2,7.52E-21,-0.405058238,0.281,0.308,2.02E-16,blue,0.020882,-0.273391,0.064966,0.235002
Sec24a,Sec24a,6.08E-32,0.167733858,0.272,0.179,1.63E-27,red,0.029412,1.058471,0.371686,0.364048
Sec24b,Sec24b,2.72E-32,0.125504399,0.354,0.258,7.30E-28,red,0.058235,0.247,0.158259,0.275117
Sec31a,Sec31a,1.36E-27,0.10460506,0.26,0.184,3.65E-23,red,0.188824,-0.209065,0.409071,0.383704
Sel1l,Sel1l,1.44E-25,0.10326217,0.271,0.197,3.86E-21,red,0.260294,0.113891,0.503644,0.435175
Selplg,Selplg.2,1.10E-161,-1.207858005,0.355,0.608,2.96E-157,blue,9.069412,-1.225303,39.41363,37.192363
Senp2,Senp2.2,2.10E-36,-0.218168481,0.452,0.43,5.64E-32,blue,0.136765,-0.128258,0.407126,0.38291
Senp5,Senp5,5.12E-28,0.198103134,0.286,0.192,1.37E-23,red,0.023235,0.435072,1.278195,0.91174
Senp7,Senp7,1.21E-29,-0.115676175,0.289,0.253,3.24E-25,blue,0.075882,0.115356,1.051011,0.755528
Serinc3,Serinc3.2,1.49E-104,-0.727296286,0.571,0.707,3.99E-100,blue,9.199706,-0.907111,30.245977,28.188567
Sesn1,Sesn1,5.60E-26,-0.183408608,0.296,0.278,1.50E-21,blue,0.382353,-1.587521,4.442182,3.544854
Setd2,Setd2,1.02E-38,-0.129303556,0.481,0.427,2.73E-34,blue,0.229118,-0.860628,1.222762,0.875348
Sfpq,Sfpq,8.03E-41,-0.155571701,0.472,0.426,2.16E-36,blue,0.336471,-0.599989,0.419963,0.38856
Sft2d1,Sft2d1.1,4.98E-44,-0.11896306,0.487,0.423,1.34E-39,blue,0.577353,-0.14978,0.098987,0.247554
