X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Actr8,541.5721493,0.152771779,0.070170863,2.171803277,0.029870504,0.73082813,red,Actr8
Cnot11,352.4736221,0.152761085,0.075743327,2.012461138,0.044171349,0.734437495,red,Cnot11
Lsm3,191.7597793,0.152661057,0.068845152,2.224717039,0.02610024,0.71436293,red,Lsm3
Spink4,2.683965983,0.152440376,0.066584548,2.242057791,0.024957637,NA,red,Spink4
Taf8,241.2201721,0.152357947,0.073997649,2.052375535,0.04013318,0.73082813,red,Taf8
1110059G10Rik,268.810752,0.151821144,0.068182869,2.22664242,0.025971182,0.71436293,red,1110059G10Rik
Rpl36a-ps2,258.4006658,0.151511582,0.072613164,2.087510117,0.036842048,0.73082813,red,Rpl36a-ps2
Cxcl9,2.96657174,0.151367658,0.052750205,2.803031843,0.005062467,NA,red,Cxcl9
Laptm4b,1229.387578,0.151287261,0.063984425,2.362402123,0.018156935,0.707547848,red,Laptm4b
Polr1d,841.3300372,0.151204347,0.067334636,2.24458508,0.024794781,0.707996724,red,Polr1d
Timm13,1127.549566,0.150822786,0.074362847,2.025686855,0.042796885,0.73082813,red,Timm13
Rad50,203.4097983,0.150182732,0.071793763,2.101974248,0.035555532,0.73082813,red,Rad50
C1qc,901.7350167,0.149848963,0.065820111,2.275199448,0.022893968,0.707547848,red,C1qc
Atp6v1f,1902.84347,0.149723273,0.059135134,2.531034436,0.011372668,0.666409861,red,Atp6v1f
Msto1,247.2295851,0.149572942,0.070550706,2.117134077,0.03424847,0.73082813,red,Msto1
Kcng1,473.7123086,0.148286377,0.071678069,2.066366209,0.038793914,0.73082813,red,Kcng1
Tmem108,353.0863111,0.148280671,0.074272245,1.992789823,0.046284467,0.744195683,red,Tmem108
Fam57a,196.1242884,0.148084894,0.074742263,1.979231843,0.047789909,0.744195683,red,Fam57a
Tmem258,538.8941796,0.147650417,0.054313236,2.715062973,0.006626317,0.590364336,red,Tmem258
Gm13302,1.658573134,0.147328274,0.050538233,2.82767718,0.004688706,NA,red,Gm13302
Taf6,283.9332789,0.146723252,0.068228054,2.147244344,0.031773834,0.73082813,red,Taf6
Cbr1,1012.147736,0.146556676,0.071093952,2.059431408,0.03945293,0.73082813,red,Cbr1
Hs6st1,585.338778,0.146123381,0.073819692,1.973602402,0.04842697,0.744195683,red,Hs6st1
Tmed4,1180.692587,0.145958073,0.061789549,2.358869186,0.018330716,0.707547848,red,Tmed4
Aup1,569.7735373,0.145794363,0.069216743,2.106160975,0.035190372,0.73082813,red,Aup1
Mnat1,282.5945516,0.145507932,0.072601383,2.004851429,0.044978933,0.739642402,red,Mnat1
Mcfd2,1232.278587,0.145359819,0.067546903,2.150521948,0.031513952,0.73082813,red,Mcfd2
Bysl,332.3709397,0.144653715,0.069813388,2.065775779,0.038849656,0.73082813,red,Bysl
Psmd4,1264.344814,0.143905529,0.062231361,2.309616322,0.020909405,0.707547848,red,Psmd4
Tmem147,1178.112051,0.143599647,0.059540173,2.411173397,0.015901287,0.707547848,red,Tmem147
Fam192a,488.4032294,0.141952022,0.061895396,2.29073564,0.021978708,0.707547848,red,Fam192a
Park7,2113.228968,0.141754071,0.062580632,2.263909336,0.023579692,0.707547848,red,Park7
Acsl1,573.6610507,0.141749675,0.064674623,2.191942259,0.028383676,0.717843203,red,Acsl1
Dph7,300.4381702,0.141322324,0.071343036,1.980108634,0.047691323,0.744195683,red,Dph7
Cbwd1,215.1277333,0.141315672,0.071052071,2.00333991,0.045140817,0.740989616,red,Cbwd1
