X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Galnt17,1923.306013,-0.254528874,0.092123198,-2.762089677,0.00574327,0.121284544,blue,Galnt17
Asxl3,85.51547253,-0.254680172,0.090632993,-2.799753975,0.005114157,0.11548519,blue,Asxl3
Crlf1,356.7413418,-0.255742851,0.088975858,-2.87983519,0.003978831,0.106904402,blue,Crlf1
Hyou1,1121.82585,-0.25602708,0.0711491,-3.598592723,0.000319944,0.033242461,blue,Hyou1
Tmem120b,86.92673728,-0.256482048,0.085686133,-2.991801656,0.002773364,0.092414031,blue,Tmem120b
Zdhhc23,636.9109762,-0.257119181,0.082119225,-3.131703121,0.001737955,0.074246337,blue,Zdhhc23
Bzw2,472.2702605,-0.25728413,0.072767213,-3.537051808,0.00040462,0.036050153,blue,Bzw2
Slc38a5,44.85123252,-0.257285708,0.103839136,-2.456317911,0.014036892,0.177307547,blue,Slc38a5
Ccdc138,55.8513127,-0.25749612,0.100310703,-2.564101103,0.010344341,0.15540763,blue,Ccdc138
Cnr1,1944.904796,-0.257952987,0.089760106,-2.870050945,0.004104057,0.108485072,blue,Cnr1
Nwd2,225.9562443,-0.25812228,0.091213872,-2.831782614,0.004628931,0.111771905,blue,Nwd2
Schip1,345.5149617,-0.258194475,0.078464853,-3.294731507,0.000985158,0.057390596,blue,Schip1
Smoc2,439.0911401,-0.258362711,0.098338073,-2.628998705,0.008563669,0.141887203,blue,Smoc2
Cdh11,1025.907205,-0.25930423,0.079270101,-3.269205316,0.0010785,0.058914395,blue,Cdh11
Tanc1,1527.110173,-0.259397761,0.078409477,-3.30808299,0.00093937,0.056496005,blue,Tanc1
Mocs3,199.0464766,-0.259795723,0.08788784,-2.960251561,0.003073879,0.096996029,blue,Mocs3
Ncam2,883.6224661,-0.260356342,0.083303974,-3.121519134,0.001799206,0.075353322,blue,Ncam2
Fam131a,4986.099909,-0.260907208,0.092555429,-2.82581724,0.004716016,0.112400655,blue,Fam131a
Lnpk,494.490633,-0.260996766,0.078320995,-3.331935575,0.000862442,0.054047643,blue,Lnpk
Nrp1,703.5398509,-0.261029275,0.077537301,-3.366757514,0.000760575,0.04988955,blue,Nrp1
Gm7666,76.50959609,-0.26154862,0.098132638,-2.675900823,0.00745287,0.135632166,blue,Gm7666
Prss35,107.9890574,-0.261776496,0.094164667,-2.77583387,0.005506033,0.11944579,blue,Prss35
1600029O15Rik,32.35097632,-0.261876806,0.10370857,-2.501545562,0.012365253,0.167903408,blue,1600029O15Rik
Rnf128,412.1884951,-0.262480425,0.09254719,-2.835797146,0.004571147,0.111727498,blue,Rnf128
