X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
Cfl1,9128.519199,0.214974573,0.106987161,1.985525532,0.047086032,0.409485327,9128.519199,-0.232058608,0.103983893,-2.198903235,0.027884804,0.196715609
Chd7,367.090483,-0.434143666,0.12758576,-3.390450324,0.000697779,0.066125694,367.090483,0.282830372,0.124664121,2.250174426,0.024437875,0.188458261
Chga,1236.243777,0.425357428,0.1878776,2.117203229,0.034242604,0.367192394,1236.243777,-0.549226351,0.185454899,-2.796609498,0.005164191,0.112461514
Cic,4146.759162,-0.393959761,0.159270452,-2.429040489,0.015138842,0.268773454,4146.759162,0.346863521,0.155760174,2.166232872,0.030293396,0.202629719
Cish,55.49316213,0.450903552,0.188362192,2.485072722,0.012952497,0.25414283,55.49316213,-0.655648684,0.185634427,-3.53745451,0.000404004,0.041077432
Ckmt1,1710.130907,0.381548254,0.166294605,2.205417089,0.02742484,0.334079983,1710.130907,-0.449746977,0.162955451,-2.648041912,0.008095949,0.129840149
Cnr1,2267.235631,0.345313191,0.166995462,2.033606675,0.041991268,0.39314784,2267.235631,-0.368358498,0.163607496,-2.198677662,0.02790085,0.196720343
Cntnap1,4402.529802,-0.456000478,0.128536414,-3.530596226,0.000414624,0.049103237,4402.529802,0.268724673,0.125180898,2.130402499,0.033138398,0.208417523
Copz1,916.8783054,0.212658302,0.080169214,2.646231586,0.008139407,0.204466587,916.8783054,-0.159353253,0.077821188,-2.040815573,0.041269162,0.226857292
Cped1,58.13837097,-0.397706462,0.195707402,-1.997565507,0.045763786,0.403209674,58.13837097,0.530887007,0.19453153,2.723259631,0.006464124,0.120939814
Cpne7,2622.415456,0.532027104,0.162292864,3.282466089,0.001029034,0.084450145,2622.415456,-0.395489857,0.158796671,-2.474475403,0.013343201,0.151983178
Crabp2,31.91091863,-0.538194758,0.192916915,-2.68870984,0.007172874,0.198025118,31.91091863,0.57359859,0.189468071,2.718337549,0.006561087,0.121118546
Creb3,510.716602,0.272803383,0.127096358,2.107788103,0.035049322,0.368887981,510.716602,-0.276722411,0.124103041,-2.181724317,0.029129885,0.200215336
Crhr2,56.20595866,0.465229874,0.195541503,2.491592222,0.012717195,0.252304613,56.20595866,-0.466995901,0.1951013,-2.370006778,0.017787759,0.168537875
Crybg3,132.252254,-0.293331142,0.131968698,-2.203252107,0.027576985,0.334338976,132.252254,0.307943139,0.129046514,2.342337791,0.019163362,0.171643649
Crym,3041.117185,0.347552891,0.134735306,2.575115146,0.010020672,0.226221306,3041.117185,-0.33610153,0.13125534,-2.547762033,0.01084164,0.14190687
Csde1,2855.381113,0.278190974,0.079849798,3.469542963,0.000521345,0.054960218,2855.381113,-0.171288275,0.077532219,-2.192563244,0.028338862,0.197942894
Csnk2b,778.6559618,0.217350117,0.103762084,2.073387319,0.038136248,0.380210071,778.6559618,-0.314598213,0.101030094,-3.084113856,0.002041594,0.082346478
Csrnp2,290.1771911,0.326300035,0.159796651,1.966538084,0.049236488,0.415004028,290.1771911,-0.504456539,0.156796473,-3.122481507,0.001793334,0.077534073
Ctsa,1376.542201,0.245691732,0.101414413,2.396592002,0.016548339,0.277942982,1376.542201,-0.19954599,0.098707535,-1.989187159,0.046680549,0.236093081
Cul9,1677.468801,-0.269881231,0.125125834,-2.149030924,0.031631949,0.352221748,1677.468801,0.279325703,0.121892711,2.279022798,0.02266571,0.182679049
