"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"467","XYO",185,"IP-10","Cuprizone",229.66,40.83631579,5.62391576118233,2.49157498490926
"468","XYO",177,"IP-10","Cuprizone",253.41,40.83631579,6.20550593503969,2.63354883811021
"469","XXT",178,"IP-10","Cuprizone",31.63,40.83631579,0.774555671541397,-0.368559157783157
"470","XXT",193,"IP-10","Cuprizone",199.04,40.83631579,4.87409297703445,2.28513377183005
"471","XXT",184,"IP-10","Cuprizone",189.71,40.83631579,4.64561986873596,2.21587110939294
"472","XXT",175,"IP-10","Cuprizone",289.78,40.83631579,7.09613476127935,2.82703340783279
"473","XXT",181,"IP-10","Cuprizone",307.55,40.83631579,7.53128665136126,2.91289635719042
"474","XXT",182,"IP-10","Cuprizone",181.37,40.83631579,4.44138988768458,2.15101122393715
"475","XYT",186,"IP-10","Cuprizone",324.42,40.83631579,7.94439933485488,2.9899381435026
"476","XYT",187,"IP-10","Cuprizone",168.42,40.83631579,4.12427019288657,2.04413885093313
"477","XYT",183,"IP-10","Cuprizone",150.58,40.83631579,3.68740414229224,1.88260554556872
"478","XYT",180,"IP-10","Cuprizone",113.79,40.83631579,2.78649035297804,1.47844915871484
"498","XXO",202,"KC","Cuprizone",13.76,18.01578947,0.763774466998143,-0.388781403456487
"499","XXO",203,"KC","Cuprizone",19.08,18.01578947,1.05907099057591,0.0827992978469261
"500","XXO",204,"KC","Cuprizone",14.25,18.01578947,0.790972831011885,-0.338299954219119
"501","XXO",164,"KC","Cuprizone",23.33,18.01578947,1.29497516824612,0.372924433825614
"502","XYO",176,"KC","Cuprizone",12.29,18.01578947,0.682179374956916,-0.551776957785924
"503","XYO",179,"KC","Cuprizone",20.5,18.01578947,1.13789073935043,0.186362036234223
"504","XYO",185,"KC","Cuprizone",14.73,18.01578947,0.817616126372285,-0.290504443122736
"505","XYO",177,"KC","Cuprizone",16.67,18.01578947,0.92529944512057,-0.112007769172168
"506","XXT",178,"KC","Cuprizone",21.92,18.01578947,1.21671048812495,0.282985924801942
"507","XXT",193,"KC","Cuprizone",14.73,18.01578947,0.817616126372285,-0.290504443122736
"508","XXT",184,"KC","Cuprizone",21.21,18.01578947,1.17730061373769,0.23548274737197
"509","XXT",175,"KC","Cuprizone",14.98,18.01578947,0.831492842705827,-0.266224249699834
"510","XXT",181,"KC","Cuprizone",20.27,18.01578947,1.12512416032357,0.170084215308314
"511","XXT",182,"KC","Cuprizone",10.82,18.01578947,0.60058428291569,-0.73556137433177
"512","XYT",186,"KC","Cuprizone",11.8,18.01578947,0.654981010943175,-0.610475013909381
"513","XYT",187,"KC","Cuprizone",14.25,18.01578947,0.790972831011885,-0.338299954219119
"514","XYT",183,"KC","Cuprizone",8.38,18.01578947,0.465147531500322,-1.10423972445923
"515","XYT",180,"KC","Cuprizone",15.22,18.01578947,0.844814490386027,-0.24329351465504
"535","XXO",202,"MCP-1","Cuprizone",30.5,26.89789474,1.13391773946692,0.181315983165715
"536","XXO",203,"MCP-1","Cuprizone",20.79,26.89789474,0.772922944377616,-0.371603501313526
"537","XXO",204,"MCP-1","Cuprizone",30.5,26.89789474,1.13391773946692,0.181315983165715
"538","XXO",164,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"539","XYO",176,"MCP-1","Cuprizone",30.5,26.89789474,1.13391773946692,0.181315983165715
"540","XYO",179,"MCP-1","Cuprizone",34.96,26.89789474,1.29972997284471,0.378211925328702
"541","XYO",185,"MCP-1","Cuprizone",30.5,26.89789474,1.13391773946692,0.181315983165715
"542","XYO",177,"MCP-1","Cuprizone",34.96,26.89789474,1.29972997284471,0.378211925328702
"543","XXT",178,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"544","XXT",193,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"545","XXT",184,"MCP-1","Cuprizone",20.79,26.89789474,0.772922944377616,-0.371603501313526
"546","XXT",175,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"547","XXT",181,"MCP-1","Cuprizone",30.5,26.89789474,1.13391773946692,0.181315983165715
"548","XXT",182,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"549","XYT",186,"MCP-1","Cuprizone",25.79,26.89789474,0.958811098388587,-0.0606814863826822
"550","XYT",187,"MCP-1","Cuprizone",20.79,26.89789474,0.772922944377616,-0.371603501313526
"551","XYT",183,"MCP-1","Cuprizone",20.79,26.89789474,0.772922944377616,-0.371603501313526
"552","XYT",180,"MCP-1","Cuprizone",39.2,26.89789474,1.45736312744601,0.543360394830674
"572","XXO",202,"MIP-1a","Cuprizone",63.87,81.01368421,0.788385328019882,-0.343027167047208
"573","XXO",203,"MIP-1a","Cuprizone",75.05,81.01368421,0.926386705305968,-0.110313545712607
"574","XXO",204,"MIP-1a","Cuprizone",73.89,81.01368421,0.912068136643011,-0.132786489000541
"575","XXO",164,"MIP-1a","Cuprizone",70.31,81.01368421,0.867878071286644,-0.204435723077158
"576","XYO",176,"MIP-1a","Cuprizone",71.52,81.01368421,0.882813819633349,-0.179818881037341
"577","XYO",179,"MIP-1a","Cuprizone",118.26,81.01368421,1.45975338800112,0.545724659543984
"578","XYO",185,"MIP-1a","Cuprizone",81.59,81.01368421,1.00711380794023,0.0102267229410743
