G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic large ribosomal subunit,,,IBA,PTN000006274 ,J:265628 
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic large ribosomal subunit,,,ISO,RGD:1302976 ,J:155856 
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic large ribosomal subunit,,,ISO,Q02543 ,J:164563 
MGI:1924058,Rpl18a,ribosomal protein L18A,8,,cytosolic ribosome,,,ISO,Q02543 ,J:164563 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,IBA,PTN000076564 ,J:265628 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,is a part of testis,,IDA,,J:197929 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,IDA,,J:31514 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,ISO,RGD:621183 ,J:155856 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic large ribosomal subunit,,,ISO,P84098 ,J:164563 
MGI:98020,Rpl19,ribosomal protein L19,11,,cytosolic ribosome,,,ISO,P84098 ,J:164563 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic large ribosomal subunit,,,IBA,PTN001463935 ,J:265628 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic large ribosomal subunit,,,ISO,RGD:68390 ,J:155856 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic large ribosomal subunit,,,ISO,P46778 ,J:164563 
MGI:1278340,Rpl21,ribosomal protein L21,5,,cytosolic ribosome,,,ISO,P46778 ,J:164563 
MGI:99262,Rpl22,ribosomal protein L22,4,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:99262,Rpl22,ribosomal protein L22,4,,cytosolic large ribosomal subunit,,,ISO,RGD:621189 ,J:155856 
MGI:99262,Rpl22,ribosomal protein L22,4,,cytosolic large ribosomal subunit,,,ISO,P35268 ,J:164563 
MGI:99262,Rpl22,ribosomal protein L22,4,,cytosolic ribosome,,,ISO,P35268 ,J:164563 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic large ribosomal subunit,,,IBA,PTN000205184 ,J:265628 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic large ribosomal subunit,,,ISO,RGD:62067 ,J:155856 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic large ribosomal subunit,,,ISO,P62829 ,J:164563 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic ribosome,,,ISO,X52839 ,J:66696 
MGI:1929455,Rpl23,ribosomal protein L23,11,,cytosolic ribosome,,,ISO,P62829 ,J:164563 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic large ribosomal subunit,,,IBA,PTN000178698 ,J:265628 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic large ribosomal subunit,,,ISO,RGD:1304897 ,J:155856 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic large ribosomal subunit,,,ISO,P62750 ,J:164563 
MGI:3040672,Rpl23a,ribosomal protein L23A,11,,cytosolic ribosome,,,ISO,P62750 ,J:164563 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic large ribosomal subunit,,,IBA,PTN000082479 ,J:265628 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic large ribosomal subunit,,,ISO,P83731 ,J:164563 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic large ribosomal subunit,,,ISO,P83732 ,J:73065 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic ribosome,,,ISO,RGD:621191 ,J:155856 
MGI:1915443,Rpl24,ribosomal protein L24,16,,cytosolic ribosome,,,ISO,P83731 ,J:164563 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic large ribosomal subunit,,,IBA,PTN000124940 ,J:265628 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic large ribosomal subunit,,,ISO,RGD:1310607 ,J:155856 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic large ribosomal subunit,,,ISO,P61254 ,J:164563 
MGI:106022,Rpl26,ribosomal protein L26,11,,cytosolic ribosome,,,ISO,P61254 ,J:164563 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic large ribosomal subunit,,,IBA,PTN000052145 ,J:265628 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic large ribosomal subunit,,,ISO,RGD:621192 ,J:155856 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic large ribosomal subunit,,,ISO,P61353 ,J:164563 
MGI:98036,Rpl27,ribosomal protein L27,11,,cytosolic ribosome,,,ISO,P61353 ,J:164563 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic large ribosomal subunit,,,IBA,PTN000197373 ,J:265628 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic large ribosomal subunit,,,ISO,RGD:1309771 ,J:155856 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic large ribosomal subunit,,,ISO,P46776 ,J:164563 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic ribosome,,,IGI,S000006437 ,J:137257 
MGI:1347076,Rpl27a,ribosomal protein L27A,7,,cytosolic ribosome,,,ISO,P46776 ,J:164563 
MGI:3781727,Rpl27rt,"ribosomal protein L29, retrotransposed",18,,cytosolic large ribosomal subunit,,,IBA,PTN000306390 ,J:265628 
