"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"249","Rps20",3.82650293034484e-45,-0.446430387066868,0.995,1,7.46588986739582e-41,"blue"
"250","Rps21",2.88340682918264e-82,-0.553110649896928,1,1,5.62581506441825e-78,"blue"
"251","Rps23",8.09182892418441e-41,-0.449139528825765,0.995,0.999,1.57879674139762e-36,"blue"
"252","Rps24",1.03811877341831e-57,-0.484115950994004,1,1,2.02547353881646e-53,"blue"
"253","Rps25",3.0316414831123e-13,-0.272787113537027,0.962,0.973,5.91503569770041e-09,"blue"
"254","Rps26",8.32353184526124e-59,-0.569544554668454,0.998,0.999,1.62400429832892e-54,"blue"
"255","Rps27",3.44462908210469e-56,-0.553304224059139,0.997,0.999,6.72081580209446e-52,"blue"
"256","Rps27a",1.01423902468223e-52,-0.445269528282163,1,1,1.9788817610575e-48,"blue"
"257","Rps28",3.89774721674792e-73,-0.621404340268981,0.995,1,7.60489459459686e-69,"blue"
"258","Rps29",4.85302529667386e-74,-0.557287480624127,1,1,9.46873765634037e-70,"blue"
"259","Rps3",1.60665244712563e-32,-0.404746765818186,0.983,0.996,3.13473958958683e-28,"blue"
"260","Rps3a1",1.83939911846668e-31,-0.393059712109294,0.99,1,3.58885162004033e-27,"blue"
"261","Rps4x",1.69960367966779e-23,-0.345966627792658,0.983,0.996,3.31609673939982e-19,"blue"
"262","Rps5",2.9244504218046e-50,-0.5437510388988,0.976,0.993,5.70589521798295e-46,"blue"
"263","Rps6",1.87636262261079e-06,-0.15804503941243,0.96,0.98,0.0366097111297592,"blue"
"264","Rps7",4.22360209903762e-33,-0.390445665055351,0.991,0.999,8.2406700554323e-29,"blue"
"265","Rps8",2.12881604012805e-28,-0.316067616893515,1,1,4.15353297589384e-24,"blue"
"266","Rps9",6.38534775056037e-37,-0.454435861996519,0.951,0.987,1.24584519961183e-32,"blue"
"267","Rpsa",7.06208480107883e-10,-0.179172450758797,0.998,1,1.37788336553849e-05,"blue"
